line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
143,How was your journey?,21,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833247624463551,3
144,It was terrible.,16,3,negative,-0.4767,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
145,The Sea of Decay consumed,25,5,negative,-0.4019,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6547773564669289,2
146,Its spreading all the time.,27,5,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6543712733995264,3
147,And yet war and hunger,22,5,negative,-0.7096,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.37713542566248526,6
148,Nothing but bad omens.,22,4,positive,0.5824,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833298479434119,1
149,Why cant they live,18,4,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.654377772305848,5
150,The ocean winds protect our valley.,35,6,positive,0.3818,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5132674189391268,6
151,The Sea of Decay,16,4,negative,-0.4019,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6547773564669289,2
152,"What do you say, Yupa?",22,5,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.3965975900148063,3
153,Isnt it time you,16,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.654634426803709,3
154,Look at my condition.,21,4,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833323047678362,1
155,It would please everyone.,25,4,positive,0.3182,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.4941332156550711,6
156,Dont bother.,12,2,positive,0.2584,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833327372179449,1
157,Yupas a man who is fated,24,6,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833236100755333,4
158,Fate...,7,1,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833292063977902,5
159,"Obaba, whats",12,2,neutral,0.0,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.36421158131101494,0
160,"Dont you know, Nausica??",24,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5067013647426741,3
161,"Look, see the tapestry on the wall...",37,7,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.37441763740957684,6
162,I no longer see it.,19,5,negative,-0.296,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.38897209546640477,0
163,The figure in the left corner.,30,6,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833244866521314,4
164,"...clothed in blue robes,",25,4,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.6949713706072764,1
165,"descending onto a golden field,",31,5,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.7222156260621718,4
166,to join bonds with the great earth,34,7,positive,0.743,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.37675244322151447,1
167,and guide the people,20,4,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.6535884136290052,1
168,"Lord Yupa, I always thought",27,5,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.6927341691225464,6
169,"You mustnt tease me, Obaba.",27,5,positive,0.2411,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.38306329997543553,3
170,Its the same thing.,19,4,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
171,I only wish to solve the Sea,28,7,positive,0.5423,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6508678675840843,2
172,Are we humans but a tribe,25,6,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.583330168121236,1
173,and ruined by the Sea of Decay?,31,7,negative,-0.7003,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6547773564669289,2
174,That is what I wish to know.,28,7,positive,0.4019,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.6535175350230249,5
175,If only I could help Lord Yupa.,31,7,positive,0.4019,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5433658618089195,6
176,"Princess, Princess.",19,2,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833330117776506,3
177,"What is it, Mito?",17,4,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833320133689647,1
178,A strange scent on the wind.,28,6,negative,-0.2023,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.3922290442282822,0
179,Its nearly dawn,15,3,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.583324997188312,1
180,How is it?,10,3,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
181,"Its one fine storm,",19,4,positive,0.2023,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6526839361303685,2
182,Over there!,11,2,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
183,Look!,5,1,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833323047678362,1
184,Its a ship.,11,3,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5825319894955072,6
185,Why would a ship be here?,25,6,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.652793686976571,6
186,What is it?,11,3,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
187,"Lord Yupa, its a ship.",22,5,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.6948095797663305,6
188,A ship!,7,2,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5825319894955072,6
189,Its coming closer.,18,3,neutral,0.0,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833316262986479,2
190,Its huge!,9,2,positive,0.3802,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
191,Its a Tolmekian ship.,21,4,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.653505253329872,6
192,Its not flying right.,21,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833315846792513,3
193,Its an emergency landing.,25,4,negative,-0.3818,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833261124901342,2
194,"Help me up, Gol.",16,4,positive,0.4019,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.654535757894697,4
195,"Princess, you mustnt!",21,3,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6499725166678771,3
196,Ill guide them to the shore.,28,6,negative,-0.4215,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.6527944248646729,5
197,Its coming about.,17,3,neutral,0.0,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833316262986479,2
198,Off you go!,11,3,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
199,Teto!,5,1,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833305876507872,3
200,How dare they!,14,3,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833280755365913,1
201,They must have landed before,28,5,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833320251038131,4
202,Turn away! Youll crash.,23,4,negative,-0.4574,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5400385455876742,3
203,Turn away!,10,2,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.6537195976748587,1
204,Turn!,5,1,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5822869295440336,3
205,It crashed. The Princess.,25,4,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.43354252113031405,4
206,The cliffs. Lets go!,20,4,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833306750006673,5
207,Everyone to the rescue.,23,4,positive,0.5106,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833322313612376,6
